# G(2) Function
# 2025-11-20 17:23:44
# Histogram Width = 10 ns
# Events Ch. 0 = 2.178e+07 
# Events Ch. 1 = 2.286e+07 
# Integr. Time = 46.9 s
# G(2) Norm = 106.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-5.4349951E-009 ;  9.0430600E-001
-5.4252199E-009 ;  1.0927030E+000
-5.4154448E-009 ;  1.1209620E+000
-5.4056696E-009 ;  9.5140500E-001
-5.3958944E-009 ;  1.1021230E+000
-5.3861193E-009 ;  9.2314500E-001
-5.3763441E-009 ;  1.0550230E+000
-5.3665689E-009 ;  9.6082500E-001
-5.3567937E-009 ;  1.0927030E+000
-5.3470186E-009 ;  8.5720600E-001
-5.3372434E-009 ;  1.0361840E+000
-5.3274682E-009 ;  1.0550230E+000
-5.3176931E-009 ;  1.0361840E+000
-5.3079179E-009 ;  1.0267640E+000
-5.2981427E-009 ;  9.6082500E-001
-5.2883675E-009 ;  9.8908400E-001
-5.2785924E-009 ;  1.0550230E+000
-5.2688172E-009 ;  1.0456040E+000
-5.2590420E-009 ;  1.0738630E+000
-5.2492669E-009 ;  1.1115420E+000
-5.2394917E-009 ;  1.1398020E+000
-5.2297165E-009 ;  1.0738630E+000
-5.2199413E-009 ;  1.1680620E+000
-5.2101662E-009 ;  1.0644430E+000
-5.2003910E-009 ;  1.0173440E+000
-5.1906158E-009 ;  1.0550230E+000
-5.1808407E-009 ;  8.1010700E-001
-5.1710655E-009 ;  1.0456040E+000
-5.1612903E-009 ;  9.6082500E-001
-5.1515152E-009 ;  9.4198500E-001
-5.1417400E-009 ;  1.0173440E+000
-5.1319648E-009 ;  1.0456040E+000
-5.1221896E-009 ;  9.3256500E-001
-5.1124145E-009 ;  8.6662600E-001
-5.1026393E-009 ;  1.0456040E+000
-5.0928641E-009 ;  1.1021230E+000
-5.0830890E-009 ;  9.3256500E-001
-5.0733138E-009 ;  1.0173440E+000
-5.0635386E-009 ;  1.1303820E+000
-5.0537634E-009 ;  1.0832830E+000
-5.0439883E-009 ;  1.0832830E+000
-5.0342131E-009 ;  1.0738630E+000
-5.0244379E-009 ;  1.0832830E+000
-5.0146628E-009 ;  8.5720600E-001
-5.0048876E-009 ;  1.0079240E+000
-4.9951124E-009 ;  8.2894700E-001
-4.9853372E-009 ;  1.1303820E+000
-4.9755621E-009 ;  9.7966500E-001
-4.9657869E-009 ;  8.4778700E-001
-4.9560117E-009 ;  1.0173440E+000
-4.9462366E-009 ;  1.1963210E+000
-4.9364614E-009 ;  1.0173440E+000
-4.9266862E-009 ;  1.0644430E+000
-4.9169110E-009 ;  1.0173440E+000
-4.9071359E-009 ;  9.2314500E-001
-4.8973607E-009 ;  1.1115420E+000
-4.8875855E-009 ;  1.1303820E+000
-4.8778104E-009 ;  9.7966500E-001
-4.8680352E-009 ;  9.8908400E-001
-4.8582600E-009 ;  1.1680620E+000
-4.8484848E-009 ;  1.2057410E+000
-4.8387097E-009 ;  9.7966500E-001
-4.8289345E-009 ;  1.1586420E+000
-4.8191593E-009 ;  9.1372600E-001
-4.8093842E-009 ;  1.0456040E+000
-4.7996090E-009 ;  1.0644430E+000
-4.7898338E-009 ;  1.0550230E+000
-4.7800587E-009 ;  1.0267640E+000
-4.7702835E-009 ;  9.8908400E-001
-4.7605083E-009 ;  9.3256500E-001
-4.7507331E-009 ;  1.0738630E+000
-4.7409580E-009 ;  1.0832830E+000
-4.7311828E-009 ;  1.2340010E+000
-4.7214076E-009 ;  9.4198500E-001
-4.7116325E-009 ;  1.2528400E+000
-4.7018573E-009 ;  1.0644430E+000
-4.6920821E-009 ;  9.5140500E-001
-4.6823069E-009 ;  9.6082500E-001
-4.6725318E-009 ;  1.1303820E+000
-4.6627566E-009 ;  9.6082500E-001
-4.6529814E-009 ;  1.2434200E+000
-4.6432063E-009 ;  1.0267640E+000
-4.6334311E-009 ;  1.1774810E+000
-4.6236559E-009 ;  1.0267640E+000
-4.6138807E-009 ;  9.8908400E-001
-4.6041056E-009 ;  1.1209620E+000
-4.5943304E-009 ;  1.0927030E+000
-4.5845552E-009 ;  9.7966500E-001
-4.5747801E-009 ;  1.2057410E+000
-4.5650049E-009 ;  1.0738630E+000
-4.5552297E-009 ;  1.1021230E+000
-4.5454545E-009 ;  1.0173440E+000
-4.5356794E-009 ;  9.6082500E-001
-4.5259042E-009 ;  9.9850400E-001
-4.5161290E-009 ;  1.1021230E+000
-4.5063539E-009 ;  1.0738630E+000
-4.4965787E-009 ;  9.7024500E-001
-4.4868035E-009 ;  1.0644430E+000
-4.4770283E-009 ;  1.0832830E+000
-4.4672532E-009 ;  9.7024500E-001
