# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-5.6011730E-009 ;  1.0118520E+000
-5.5913978E-009 ;  1.0253130E+000
-5.5816227E-009 ;  1.0948640E+000
-5.5718475E-009 ;  9.8941600E-001
-5.5620723E-009 ;  9.4005700E-001
-5.5522972E-009 ;  9.8268500E-001
-5.5425220E-009 ;  1.0253130E+000
-5.5327468E-009 ;  1.0163390E+000
-5.5229717E-009 ;  1.1262740E+000
-5.5131965E-009 ;  1.0073640E+000
-5.5034213E-009 ;  1.0342870E+000
-5.4936461E-009 ;  9.9614700E-001
-5.4838710E-009 ;  9.4903200E-001
-5.4740958E-009 ;  1.0096080E+000
-5.4643206E-009 ;  9.9614700E-001
-5.4545455E-009 ;  9.8268500E-001
-5.4447703E-009 ;  1.0544800E+000
-5.4349951E-009 ;  1.0185820E+000
-5.4252199E-009 ;  9.5127500E-001
-5.4154448E-009 ;  9.8044200E-001
-5.4056696E-009 ;  9.1089100E-001
-5.3958944E-009 ;  9.9614700E-001
-5.3861193E-009 ;  1.0163390E+000
-5.3763441E-009 ;  9.9614700E-001
-5.3665689E-009 ;  1.0342870E+000
-5.3567937E-009 ;  9.4005700E-001
-5.3470186E-009 ;  9.9165900E-001
-5.3372434E-009 ;  9.5800600E-001
-5.3274682E-009 ;  9.6249300E-001
-5.3176931E-009 ;  1.0298000E+000
-5.3079179E-009 ;  1.1576840E+000
-5.2981427E-009 ;  9.5800600E-001
-5.2883675E-009 ;  1.0163390E+000
-5.2785924E-009 ;  9.7146700E-001
-5.2688172E-009 ;  1.0455050E+000
-5.2590420E-009 ;  1.0387750E+000
-5.2492669E-009 ;  1.0163390E+000
-5.2394917E-009 ;  1.0298000E+000
-5.2297165E-009 ;  9.2210900E-001
-5.2199413E-009 ;  1.0253130E+000
-5.2101662E-009 ;  9.8268500E-001
-5.2003910E-009 ;  9.7595400E-001
-5.1906158E-009 ;  9.4903200E-001
-5.1808407E-009 ;  1.0118520E+000
-5.1710655E-009 ;  1.0230690E+000
-5.1612903E-009 ;  1.0073640E+000
-5.1515152E-009 ;  9.8941600E-001
-5.1417400E-009 ;  9.8717200E-001
-5.1319648E-009 ;  9.8268500E-001
-5.1221896E-009 ;  1.0230690E+000
-5.1124145E-009 ;  1.0208260E+000
-5.1026393E-009 ;  9.8941600E-001
-5.0928641E-009 ;  9.9165900E-001
-5.0830890E-009 ;  9.7371100E-001
-5.0733138E-009 ;  1.0724280E+000
-5.0635386E-009 ;  9.6249300E-001
-5.0537634E-009 ;  1.0073640E+000
-5.0439883E-009 ;  1.1060820E+000
-5.0342131E-009 ;  1.0477490E+000
-5.0244379E-009 ;  9.3332700E-001
-5.0146628E-009 ;  1.1060820E+000
-5.0048876E-009 ;  9.9390300E-001
-4.9951124E-009 ;  9.8044200E-001
-4.9853372E-009 ;  9.8941600E-001
-4.9755621E-009 ;  9.2210900E-001
-4.9657869E-009 ;  1.1105690E+000
-4.9560117E-009 ;  9.9390300E-001
-4.9462366E-009 ;  1.0140950E+000
-4.9364614E-009 ;  1.1195430E+000
-4.9266862E-009 ;  9.5800600E-001
-4.9169110E-009 ;  9.7146700E-001
-4.9071359E-009 ;  9.8044200E-001
-4.8973607E-009 ;  9.7146700E-001
-4.8875855E-009 ;  1.0724280E+000
-4.8778104E-009 ;  1.0118520E+000
-4.8680352E-009 ;  1.0387750E+000
-4.8582600E-009 ;  9.8492900E-001
-4.8484848E-009 ;  9.3332700E-001
-4.8387097E-009 ;  9.3108300E-001
-4.8289345E-009 ;  1.0208260E+000
